cid1_model,cid2_model,textmining
105095,165156,739
86176,83262,841
70528,152453,822
89796,28776,742
35157,20698,739
143623,24146,936
143623,23351,733
29656,134594,764
140909,144398,760
108466,111711,820
139167,93983,730
175005,156737,724
171936,26017,822
37306,52292,822
54280,50408,939
54280,140162,945
54280,75083,878
54280,178824,858
54280,178867,980
54280,152611,918
54280,61284,796
8600,149773,747
178094,119365,740
178094,60308,714
178094,5987,714
63864,48533,821
3525,94958,757
3525,29680,859
3525,31375,786
165205,33128,740
165205,90614,712
55637,127960,811
170151,156279,723
170151,139981,726
170151,96825,754
170151,3185,841
170151,117656,912
170151,170198,923
170151,163384,779
170151,57160,791
133914,49963,730
87643,34797,732
164619,47134,764
140298,153363,822
105437,172077,767
178630,125237,955
178630,133673,736
178630,121763,732
178630,134387,742
178630,141089,735
127340,3591,885
65995,141933,766
21151,66049,715
152751,146907,712
44524,4609,737
44524,41797,741
59666,61499,877
59666,162568,707
69601,71624,744
5315,88797,740
5315,98851,821
352,165775,741
82269,14657,741
144924,1802,741
124408,143606,832
124408,38523,752
124408,183410,922
124408,18337,739
124408,59527,707
124408,52893,874
124408,86932,711
124408,40794,819
124408,50282,797
124408,28728,741
124408,159706,741
124408,176877,855
180989,46988,739
109281,118210,726
9655,110922,911
106668,71313,740
106668,73109,738
106668,81943,775
100309,105575,765
124835,140351,738
53244,108486,912
53244,104018,954
53244,5924,877
161368,149257,872
101068,70572,759
116911,26761,843
116911,33210,710
66883,49851,716
89763,98496,819
120096,47252,760
120096,141696,785
22947,82372,997
22947,55850,813
22947,26581,722
22947,57150,820
22947,114064,753
22947,27418,721
48399,153341,730
44198,182551,820
32368,21983,769
32368,139645,739
32368,84442,820
32368,166911,739
79766,176971,844
79766,29011,764
79766,138704,939
79766,61536,734
13584,117194,840
13584,110135,833
13584,50793,842
13584,134543,812
125376,120883,792
125376,98551,965
7931,114810,711
138963,33913,821
109537,121454,708
109537,141640,748
91949,122507,730
70902,35693,748
134307,3199,717
133120,83488,935
81414,178601,894
113489,171492,730
131418,113705,884
131418,136514,761
131418,27951,929
131418,10893,852
131418,159406,780
131418,109416,900
131418,161703,909
131418,179939,785
131418,169934,939
131418,174753,971
131418,52634,821
131418,34413,870
131418,103690,702
131418,28540,823
131418,160374,973
131418,64824,855
131418,6706,732
131418,170272,711
131418,45952,786
131418,76563,729
131418,181140,993
131418,60905,838
131418,16486,987
131418,74913,787
131418,40210,921
131418,161740,819
131418,142243,741
131418,52170,884
131418,39510,728
131418,136222,885
131418,13202,823
131418,128915,915
131418,70310,845
131418,154734,970
131418,12364,723
131418,119711,764
131418,114722,714
131418,119614,819
131418,168020,890
67242,1417,717
67242,177266,739
67242,25271,760
67242,41099,853
67242,157147,711
67242,54803,748
89890,160374,745
89890,64824,739
89890,39510,820
89890,173275,821
174347,9925,781
138602,89627,718
138602,8004,888
153087,28752,714
153087,30585,877
432,39131,700
106067,147680,743
106067,24542,742
106067,65774,735
115400,21990,765
88018,30837,821
22725,101527,758
106023,92034,740
183118,111165,748
163779,28836,715
163779,165502,737
163779,128999,739
163779,21212,743
163779,40897,874
163779,157437,995
163779,54159,743
163779,59328,890
163779,50050,780
163779,70211,818
163779,153795,731
163779,14967,725
163779,29007,907
163779,13301,799
163779,23253,923
137640,113781,762
75264,6015,743
20843,163212,821
20843,44964,745
160156,52876,743
184398,153423,755
184398,132810,717
55606,178427,715
55606,45346,739
154646,175871,820
75444,5357,716
75444,2965,717
75444,72884,751
12348,43147,728
12348,141954,738
20768,43600,735
43065,129678,933
113089,115999,713
107522,87574,894
107735,51794,835
107735,30529,737
107735,165929,756
107735,27560,707
12902,52876,820
126195,152580,883
126195,148650,782
126195,31780,978
126195,151646,820
126195,112773,701
126195,162365,740
153515,173202,816
42468,102377,821
46355,9523,745
347,88426,748
109498,130633,762
109498,143492,762
109498,98764,762
109498,33861,766
55687,182460,821
155206,63262,960
8078,68088,729
8078,53830,901
68898,71338,871
68898,28551,712
68898,160620,787
68898,76753,874
68898,81341,712
68898,70725,791
68898,42077,742
68898,47954,837
68898,159182,707
54116,94800,778
54116,134543,740
54116,141380,708
149357,21495,863
149357,98882,871
149357,150793,836
149357,133910,718
123166,26830,971
123166,94293,818
123166,14249,812
80815,131877,800
84601,111132,843
84601,85778,811
84601,74617,723
97114,70184,850
97114,37533,849
104972,143424,782
73931,76072,748
633,39577,766
633,147601,742
5228,23968,789
153685,26851,930
153685,166493,719
54814,40315,714
120533,138252,882
120533,90502,871
120533,84411,793
120533,127034,878
120533,31268,791
120533,66253,819
120533,56720,829
19102,64697,764
19102,129437,883
19102,127327,822
19102,111216,833
19102,41886,986
19102,56420,726
19102,25416,939
19102,102553,716
19102,72402,790
118662,42770,848
118662,55531,843
118662,8528,748
4934,54722,803
173337,9743,749
121813,160261,746
172330,132124,749
172330,152662,705
172330,170170,820
172330,20384,822
161058,109687,962
3922,169061,840
3922,22419,940
3922,94564,738
3922,61442,727
3922,75118,704
3922,69016,739
85911,134722,774
85911,66235,773
85911,138252,748
85911,164028,835
85911,30670,928
85911,59082,962
85911,180481,789
85911,35504,966
85911,179186,974
85911,177698,952
85911,179035,917
133796,169415,820
108363,162042,743
55445,113171,922
157725,125486,763
157725,52186,811
157725,154524,859
109137,117238,864
109137,145600,901
109137,116680,716
109137,147790,760
91074,119038,740
159615,30090,761
121629,40663,763
121629,84855,857
121629,103310,782
121629,99125,717
99452,179203,940
99452,58462,821
99452,52634,883
178841,117051,750
178841,22052,821
178841,3190,752
178841,70257,711
178841,111538,700
178841,139193,845
178841,172869,864
178841,134564,865
178841,51328,747
178841,1905,789
178841,124794,896
120570,4124,786
67587,172514,822
67587,153486,822
84539,143801,740
52552,31476,744
52552,45732,744
52552,175151,744
110912,136194,744
63796,67196,858
63796,159442,970
63796,102698,843
63796,177075,835
63796,70601,710
18807,141303,764
68748,54098,713
68748,126994,925
68748,99434,759
47360,2825,722
52933,161585,743
23220,73041,740
23220,14036,822
160713,159442,926
160713,10487,910
160713,101622,739
160713,105685,739
160713,182761,729
160713,4892,708
160713,168653,706
160713,20228,759
160713,122282,729
160713,134278,951
171889,9293,730
162559,115948,971
27263,92784,903
168683,31412,957
168683,91579,873
83293,125940,891
44632,14118,731
152634,135894,821
152634,87782,763
152634,98819,735
135202,63138,961
48527,33210,822
147924,81459,729
45644,157857,747
108367,95325,878
133034,21658,740
133034,146879,843
133034,135767,718
60226,155105,910
101392,172934,726
160775,24134,711
160775,174752,751
160775,163142,736
160775,173399,753
160775,150606,726
111530,107943,924
111530,181542,879
111530,133814,877
111530,814,944
111530,29394,937
111530,57700,816
111530,47723,944
24639,145232,716
109740,74582,767
109740,83820,822
97736,43324,735
43324,97736,735
43324,128933,877
43324,21869,724
43324,63900,711
76546,32144,822
81212,142373,751
24540,85146,712
24540,82428,713
24540,176805,711
24540,88736,947
86051,125778,843
57909,1421,847
70492,28186,742
70492,43343,763
70492,85009,760
174165,101610,822
174165,153957,822
174165,73237,822
174165,18714,874
174165,175372,947
174165,147244,795
174165,77021,747
174165,66438,915
174165,124576,884
174165,34094,940
174165,131136,754
174165,61669,727
174165,34687,718
19874,88532,843
19874,120239,762
19874,123066,750
181343,50351,740
181343,136656,912
181343,93083,711
56639,164238,742
56639,172688,764
56639,63595,810
56639,174735,810
96229,118087,734
3163,90931,816
52138,77566,766
52138,113388,831
52138,29566,765
52138,34413,716
52138,122361,762
52138,89663,765
52138,172454,761
52138,172754,789
52138,65122,896
169820,38985,718
132090,154856,750
132090,173198,742
132090,130767,860
132090,103272,739
132090,101574,829
145034,60812,855
145034,26059,740
115479,56449,818
115479,54842,820
115479,37591,781
115479,40038,948
115479,60278,939
115479,179312,947
115479,89795,883
104241,129073,743
140080,148425,877
146492,15827,711
146492,161593,751
146492,58321,711
138194,149272,739
138194,37581,877
100680,111132,799
74125,166760,821
54629,130457,821
54629,173148,818
133814,114768,749
133814,111530,877
115505,75279,769
115505,4505,778
115505,121249,900
115505,158835,822
115505,96793,747
115505,111610,934
115505,104879,760
115505,76591,820
115505,139929,739
115505,17433,921
115505,12240,760
115505,36308,742
30090,159615,761
123710,9291,763
123710,70650,782
123710,77659,841
123710,171347,735
123710,173918,883
70048,142993,739
70048,113325,750
70048,92622,742
70048,88716,740
70048,21049,745
61331,51348,730
30381,105616,763
143361,59872,764
143361,105943,844
143361,102101,900
143361,119531,912
20003,33518,746
20003,165749,757
20003,145560,890
20003,108425,740
38446,123183,782
106829,106090,877
69263,86986,821
124977,42957,822
124977,17579,822
163127,151253,723
163127,133673,725
163127,123788,741
169486,143470,897
69411,64876,741
10193,59312,955
21628,4340,822
21628,141736,782
21628,136692,724
21628,102580,884
21628,74461,800
126450,22259,738
126450,70323,754
126450,125852,752
126450,65503,717
126450,62993,754
90493,89218,742
90493,68704,820
90493,111831,742
9902,9022,740
9902,79428,737
85263,91069,739
153112,95221,732
35763,95988,741
167783,123517,834
167783,73487,703
167783,141418,733
167783,46787,883
167783,74327,851
167783,109049,791
167783,172062,739
167783,27184,746
167783,81130,881
167783,23940,847
167783,163138,911
122541,135605,730
56774,111409,730
153024,25416,724
15564,123,716
142561,155051,943
142561,121067,753
174265,80146,725
181478,134180,742
181478,33220,748
181478,60985,747
181478,171708,740
181478,135549,819
181478,158206,822
181478,119758,819
181478,153808,762
181478,62262,762
86229,2397,739
158420,132973,821
119922,149351,768
118492,161889,820
67524,130473,750
156472,87471,842
156472,177848,842
46178,41942,765
109975,146494,743
75288,166330,757
75288,154734,720
95709,171387,744
95709,178987,739
174533,119961,766
44044,150711,972
44044,32700,808
44044,169039,754
139193,117051,868
139193,22052,787
139193,3190,818
139193,172869,809
139193,134564,819
139193,178841,845
139193,51328,856
74409,66795,802
74409,7344,894
166280,84374,819
131286,14182,960
131286,69236,839
131286,109811,809
131286,181141,953
131286,26658,768
41886,129437,911
41886,127327,997
41886,111216,911
41886,177848,854
41886,51896,923
41886,19102,986
41886,136560,910
41886,153315,846
41886,72402,805
120621,50204,736
113633,77735,754
113633,39770,839
113633,177348,822
113633,94570,996
90502,134722,798
90502,138161,837
90502,109475,748
90502,125809,884
90502,174897,737
90502,176326,727
90502,96406,733
90502,41399,821
90502,84411,986
90502,11265,701
90502,120533,871
90502,74606,704
90502,60543,806
90502,31268,807
90502,34133,800
90502,66253,865
90502,127401,970
159698,85628,821
151211,241,769
35041,76886,703
35041,151838,726
35041,136194,734
35041,139539,752
35041,114295,835
35041,147757,727
35041,39306,817
35041,133652,763
35041,40848,763
35041,168077,731
35041,183796,786
148849,45554,936
136393,20335,732
4687,48732,757
4687,44151,755
4687,103573,715
4687,13086,882
4687,158806,806
4687,116841,944
4687,164075,757
118329,169108,746
3185,170151,841
78235,182939,761
172746,134504,887
172746,92260,740
172746,134725,738
172746,4508,884
172746,86869,887
172746,17476,887
173218,151795,743
161490,152453,732
13425,127693,741
180465,120135,712
22506,114445,749
22506,168655,741
22506,91180,733
116718,102404,718
116718,123780,810
116718,72507,721
116718,183169,740
116718,156076,760
144684,162394,821
144391,152892,750
121143,34563,769
63040,107182,733
866,92063,821
7773,21123,818
7773,87660,820
7773,8761,760
7773,59282,820
83199,109475,761
71356,131329,849
71356,70975,844
143470,99872,941
143470,36666,971
143470,174504,731
143470,169486,897
143470,38997,781
143470,77653,882
118322,58029,713
118322,133500,751
118322,48782,839
118322,32700,700
118322,108844,722
118322,9743,742
118322,50215,744
118322,86949,770
118322,69964,736
90707,105355,750
90707,43646,787
28276,6469,743
23737,55228,761
167055,121287,747
167055,125237,731
177173,118126,742
177173,15169,742
177173,34536,747
177173,97021,748
177173,88537,741
177173,96993,741
116171,134437,781
116171,19587,877
41723,175917,843
99312,91552,703
99312,121454,894
99312,184582,772
99312,36678,742
99312,12176,730
99312,88073,769
99312,116148,705
99312,141640,790
99312,114428,947
99312,5,706
32674,98263,764
181757,112057,820
181757,170595,730
181757,114445,764
181757,91180,742
34086,139029,730
21915,129186,761
21915,70107,722
73801,152445,754
64551,68053,844
38735,130232,743
119587,170791,765
63377,58287,764
63377,76308,764
110019,65545,763
110019,116083,820
53106,143929,746
81508,94738,734
70658,142976,763
181075,133673,739
33588,1079,821
33588,68196,765
33588,183458,739
145600,117238,900
145600,109137,901
145600,116680,795
54637,9293,800
111542,72128,748
87826,115648,822
154243,87574,894
109395,171404,949
109395,177735,757
109395,103802,861
3034,83528,821
178809,128276,725
178809,5789,725
119956,83637,729
119956,62105,807
119956,152453,733
5490,24666,820
96578,80176,715
108093,152533,745
169036,98174,819
178818,3706,744
63497,66658,821
20534,167285,760
20534,52462,749
20534,76107,750
20534,146575,717
88967,130795,716
68488,74904,822
68488,59784,745
163889,104886,745
3683,73479,826
3683,127142,826
3683,138328,826
175902,9281,877
54501,154943,740
41675,6904,711
137549,121199,763
137549,101116,739
150982,163255,713
150982,9472,714
65230,183169,738
65230,18496,821
65230,12353,725
65230,149075,739
78943,88073,722
73452,39116,807
73452,151347,938
73452,68256,762
121916,113674,972
121916,42781,939
125237,48482,774
125237,19686,955
125237,167055,731
125237,133673,739
125237,178630,955
125237,121763,769
125237,134387,820
125237,71487,739
150222,59825,722
8858,111199,821
8858,64343,745
8858,134121,821
8858,139339,742
5053,10487,801
5053,46189,739
38353,151628,732
94390,111040,717
67485,446,820
161328,20359,821
161328,21520,747
149836,183830,755
39395,9925,721
83611,120946,919
83611,169061,799
83611,135357,923
83611,69016,972
34488,96371,732
39131,163252,796
39131,432,700
39131,166731,845
57500,95713,747
178082,64589,959
178082,25416,940
178082,50977,843
121301,21423,738
121301,173588,821
22105,169864,746
12624,174851,738
168655,53820,746
168655,114445,762
168655,22506,741
168655,174366,739
134746,173364,740
52014,82375,728
88323,33861,822
158694,135474,821
43475,125101,745
41543,81686,822
182262,69382,822
105061,29584,745
40802,134472,715
40802,102899,842
40802,116373,714
92063,866,821
92063,150700,747
11180,59878,820
11180,104092,762
11180,37411,821
11180,151268,748
52776,144465,741
52776,113407,741
165606,89355,842
101926,20228,759
101926,122525,727
101926,42638,929
118709,74633,955
114396,182471,744
54960,156658,740
54960,172795,821
54960,114072,822
54960,94879,765
148650,126195,782
174218,50782,760
174218,42305,936
174218,40038,951
174218,60278,841
174218,19260,936
55984,159486,769
140967,172732,747
43186,121730,912
43186,173789,898
43186,117180,762
30046,45224,741
23102,45346,827
23102,112893,765
23102,178987,889
23102,160580,860
23102,20570,759
23102,143879,705
140425,131329,829
140425,70975,824
174504,36666,738
174504,143470,731
174504,62913,732
23984,158321,822
109409,60222,744
130517,83615,821
58857,115729,718
5954,91322,873
144468,127869,750
166129,114316,713
71838,123791,785
71838,114373,744
71838,32278,770
71838,53378,878
73934,15678,781
73934,108361,838
73934,149135,854
73934,40208,744
73934,151347,724
73934,28145,707
73934,53166,735
73934,134751,792
98764,130633,822
98764,143492,822
98764,109498,762
70302,12171,878
1384,43134,735
14812,151024,984
14812,69606,712
14812,184390,703
129708,173233,820
68920,115999,713
132921,10996,750
18496,123780,761
18496,65230,821
17389,39272,808
139991,111173,820
173555,154899,822
34930,175609,754
180474,114981,741
180474,53428,803
180474,132417,710
93491,136504,953
93491,154544,747
93491,41099,778
93491,9635,797
93491,139372,782
93491,59282,715
93491,152996,749
93491,10338,738
93491,158027,722
87950,130049,822
183832,88865,892
183832,169061,792
183832,91860,700
183832,17264,899
183832,109538,898
157692,43473,764
116429,35846,735
56210,130396,754
120066,103597,737
120066,67331,737
121686,68053,739
534,121572,762
173038,19561,748
173038,7632,739
154900,84331,820
182106,42914,715
47031,98551,714
101646,173233,886
159579,157601,821
109915,112664,790
80176,172529,741
80176,96578,715
80176,29373,747
183169,125582,743
183169,65230,738
183169,116718,740
183169,3418,743
151253,37930,731
151253,163127,723
114727,121317,760
114727,92913,760
101108,121454,933
101108,151345,761
101108,184582,949
101108,36678,737
101108,88073,951
101108,16525,894
101108,101652,747
101108,141640,770
101108,56124,740
101108,155815,709
101108,29309,791
101108,115326,912
101108,102058,721
101108,31161,755
101108,121800,739
31087,168684,740
31087,144089,739
15909,40194,715
182498,3272,821
176867,25902,786
72698,80904,870
72698,86850,729
95113,127086,739
95113,29543,741
95113,98496,740
183464,112914,822
161803,115451,853
161803,131623,766
62842,38274,977
62842,45395,726
62842,43314,740
62842,46589,956
62842,2083,879
62842,98278,760
62842,179386,866
62842,613,745
62842,180365,706
62842,23860,916
62842,104467,742
62842,148182,747
62842,21606,760
24360,104847,740
69054,50126,728
49618,158714,726
153049,176439,715
153049,130523,756
98585,4811,718
98585,53647,832
98585,143700,719
98585,29418,812
64542,129660,955
64542,146146,731
175029,3932,793
175029,77322,739
175029,16402,946
175029,128815,737
84142,105719,787
45643,135445,954
45643,184551,753
45643,175587,775
107347,89427,822
107347,109951,863
107347,53622,749
107347,153168,725
173854,52686,811
76467,126965,767
183800,121368,740
180588,79399,748
82052,147712,738
82052,148452,888
82052,56963,804
179547,30260,750
179547,132658,730
92913,27005,738
92913,114727,760
109860,120135,751
66539,24750,881
66539,133149,889
63172,166497,742
63172,147601,748
63172,118724,739
63172,140920,746
166804,74648,712
63045,158801,972
29101,108719,821
9964,183453,757
157084,140867,739
157084,18729,741
46364,104447,748
169460,167309,737
169460,100983,739
39766,102671,819
39766,123517,734
39766,32624,776
39766,48015,722
39766,17346,859
39766,27824,878
39766,70304,761
39766,80718,830
39766,182028,742
39766,152817,705
39766,170970,832
39766,4842,741
39766,33391,821
39766,89174,765
39766,48226,929
39766,108272,936
39766,110320,761
39766,54820,803
39766,96912,749
21229,80048,822
38914,101242,765
38914,177577,767
14782,176024,819
69664,145584,732
66405,113455,767
66405,55710,734
66405,173145,745
66405,156759,893
66405,69786,747
66405,92276,730
66405,92202,924
66405,34213,917
22345,4609,762
22345,41797,765
147127,174245,917
147127,91560,772
147127,90340,825
147127,125188,843
147127,50145,782
147127,5669,916
156514,51950,740
135305,156069,821
135305,57023,735
24074,44926,845
24074,11864,739
174320,90340,825
174320,28776,947
19919,170344,774
19919,137763,761
19919,121147,772
19919,34437,715
19919,152685,946
19919,162958,790
19919,135289,733
19919,87045,706
19919,83507,937
19919,148706,707
19919,102868,765
30231,178055,884
30231,40659,817
30231,107981,745
30231,165995,812
30231,96631,812
30231,102580,925
30231,112820,757
30231,82341,838
30231,152149,929
30231,88139,738
30231,74461,791
30231,163109,811
74700,15013,735
74700,5930,736
74700,6164,764
114468,37731,766
114910,12129,819
180684,158402,734
158920,42470,993
158920,7054,876
158920,102100,803
158920,151356,717
158920,86569,932
27017,29496,748
160582,72714,721
136824,37010,707
59312,10193,955
23949,45321,741
82095,4952,761
82095,24856,739
175171,157842,920
175171,109734,707
175171,150800,711
175171,50877,947
175171,2234,717
175171,4395,786
175171,102907,724
175171,65382,715
175171,178489,716
175171,178267,740
175171,105316,740
175171,72883,740
175171,31322,740
175171,124315,820
175171,31001,713
177886,122105,841
167781,84534,920
167781,14961,741
167781,95962,970
167781,69087,822
167781,129636,819
167781,179335,749
167781,45274,819
167781,117452,761
45039,134722,743
45039,177755,918
45039,141895,747
45039,77614,770
45039,152456,758
45039,90888,917
126011,144526,749
49160,9485,726
164957,157957,819
164957,137502,817
164957,177533,731
22254,73418,742
22254,112281,755
22254,133237,822
22254,177577,739
22254,157344,747
76253,149142,727
143574,22721,860
143574,95526,838
181350,49702,755
181350,110135,828
181184,30581,749
181184,32922,731
63735,33656,746
147664,155159,730
2385,37439,756
44070,134722,705
44070,72860,753
44070,137015,823
5763,90582,752
5763,109590,716
86786,66349,731
86786,181261,872
26907,50258,730
26907,152315,816
26907,161263,766
26907,6615,888
26907,123203,875
26907,29737,792
26907,129486,924
26907,78569,714
26907,84567,845
26907,168308,749
23095,5718,885
23095,147885,815
118069,103426,838
181340,134722,701
181340,66147,896
181340,137763,743
181340,118655,913
181340,34437,713
181340,66349,739
181340,15580,866
181340,12702,844
181340,110371,860
181340,183388,710
181340,145558,713
181340,110895,701
181340,104070,803
138199,75286,820
114682,6460,748
126432,43298,706
140402,71989,739
26542,164139,822
39814,174142,901
39814,22248,856
39814,127918,766
39814,15133,947
39814,154734,732
39973,37145,736
63495,83644,785
63495,5638,787
9638,165637,755
9638,30648,924
9638,113289,903
9638,175975,711
98029,145479,765
98029,173097,971
68125,135459,883
68125,94456,902
68125,110202,850
121512,59611,764
130967,169953,761
130967,42254,722
35935,109488,821
1559,91874,820
1559,78710,728
121237,13548,762
152912,124194,843
164760,85568,744
12202,117888,866
181789,173106,820
39279,94161,769
160736,139299,714
37029,182245,821
37029,173880,821
80817,333,715
66264,130795,982
171492,135529,821
171492,113489,730
171492,157596,822
171492,108833,821
48905,24070,777
48905,4892,710
48905,121634,906
48905,184432,893
39824,126691,820
39824,70944,895
66356,133048,746
139761,10478,761
23825,49285,849
126839,43990,761
126839,102288,766
126839,52893,738
21160,64837,912
163399,125929,822
163399,125795,822
125795,163399,822
62670,96471,877
10478,140465,760
10478,139761,761
10478,7120,740
60907,182746,764
60907,36366,761
120805,184390,700
2061,51154,923
103817,158672,958
103817,161284,934
103817,69236,863
103817,4284,958
103817,160433,934
103817,26658,866
6399,73799,721
96124,74662,741
36630,168985,728
180189,58147,747
154444,82553,740
165451,40599,926
165451,87887,978
165451,126582,739
165451,48736,776
165451,169221,800
165451,128201,757
165451,65410,757
165451,147703,800
174224,100281,740
16537,148775,728
127316,52840,739
127316,89910,764
127316,53177,734
127316,123587,734
127316,44194,764
127316,55351,769
127316,98107,740
127316,15478,762
127316,88928,738
131174,19561,748
131174,7632,739
64956,54306,847
85189,27940,743
181223,61920,919
13243,104493,838
13243,154264,902
13243,161959,709
13243,170881,847
13243,28095,733
13243,105320,711
13243,90630,769
63986,35676,764
22938,18787,873
22938,135558,747
22938,76594,753
22938,139902,767
98610,170093,920
151856,49326,821
151856,89910,723
151856,118865,740
151856,15478,740
177877,105740,822
177877,25505,740
138127,77421,743
176364,42762,785
172895,154265,745
151583,19884,743
151583,130953,845
151583,56927,961
151583,115741,739
151583,10217,916
151583,61156,815
151583,121552,741
151583,1501,711
112552,92260,820
112552,118475,849
112552,177220,734
112552,183887,810
112552,2873,799
112552,5417,765
112552,24911,924
20900,49807,821
139048,51950,746
62509,63897,739
157466,146746,722
163673,11078,822
125715,73001,870
125715,88222,759
72880,93006,724
111519,81589,725
43285,147601,766
43285,97304,819
43285,12037,820
43285,13548,822
164083,69101,822
26466,89384,765
54125,169883,739
67174,182961,767
67174,74524,820
24091,41197,803
91470,175629,885
117767,46982,717
117767,175629,819
18908,25765,738
69658,155010,732
69658,39712,732
69658,116445,881
46348,94233,763
142912,172345,845
142912,5930,702
42620,135445,770
42620,184551,844
42620,106414,759
42620,30023,900
42620,119616,776
42620,131663,761
42620,102868,737
94233,53195,967
94233,160608,858
94233,97924,812
94233,184551,949
94233,171933,714
94233,30023,752
94233,70420,984
94233,174081,856
94233,46348,763
94233,175587,844
94233,147654,770
94233,79045,851
94233,182000,971
29737,131468,713
29737,152315,774
29737,26907,792
29737,78569,722
29737,84567,838
29737,156239,756
117190,175629,783
143356,92329,751
143356,128788,869
143356,43793,736
143356,128915,800
143356,112845,768
143356,56991,792
136369,174051,739
119937,98270,727
111974,184008,739
87297,98979,810
87297,861,779
50145,91560,941
50145,4096,881
50145,60485,886
50145,84714,712
50145,147127,782
50145,175421,776
50145,5669,764
50145,108102,797
50064,139939,710
50064,58092,847
150889,21774,809
150889,71901,715
150889,4624,819
92974,118571,820
152574,104656,758
152574,173320,848
87756,107860,747
87756,161509,732
184040,80841,751
184040,116352,973
184040,52693,788
184040,106941,735
184040,127980,989
184040,164276,854
184040,32994,883
184040,106150,776
184040,8188,785
184040,32057,915
149674,87774,743
117982,7612,761
117982,169321,882
117982,70997,766
117982,9369,820
117982,81356,768
117982,117704,741
117982,9764,722
117982,126020,886
117982,12997,761
90572,69624,742
90572,5262,764
90572,184107,742
90572,21908,808
90572,19323,783
90572,35585,701
90572,24991,876
90572,32550,715
90572,101579,900
90572,116144,871
90572,7349,735
90572,24750,883
90572,49602,744
90572,175742,807
90572,95960,880
165995,178055,919
165995,4340,883
165995,78040,710
165995,40659,760
165995,94543,732
165995,30231,812
165995,142219,741
165995,42709,768
165995,42619,744
165995,102580,750
165995,74461,774
165995,122724,818
165995,24843,746
165995,177143,760
165995,163109,881
22920,59823,843
22920,1926,700
80844,138161,747
57871,1555,743
122787,41168,764
89648,166497,722
62550,61852,750
26345,126038,766
26345,48835,766
26345,178397,766
26345,111622,768
26345,24587,766
123125,164411,799
67316,169162,764
67316,69499,820
13021,165789,822
113263,40663,934
178397,126038,766
178397,48835,766
178397,26345,766
178397,111622,766
178397,24587,764
149540,55470,740
2096,29455,924
2096,58741,912
2096,156482,821
2096,138207,934
130973,23741,900
130973,168836,817
166083,1083,740
151634,9176,752
110364,100233,731
110364,91180,736
110364,77104,762
19334,54268,766
19334,66711,749
41168,151566,872
41168,122787,764
41168,69956,735
73533,169531,732
88320,153538,820
75362,164649,820
11997,164649,784
26941,173040,739
134957,182625,740
138881,23774,760
100125,122198,738
18272,38140,732
18272,163282,742
126458,108634,734
126458,89518,730
126458,168648,734
126458,16461,721
126458,160478,742
25931,116422,808
25931,93514,724
25931,54886,739
25931,109764,739
25931,31854,735
25931,4699,957
25931,128192,916
25931,123183,733
12488,64741,738
12488,910,715
181804,108558,761
127597,42597,846
127597,88089,744
127597,57438,757
118395,58954,713
180154,114346,737
44450,76216,743
43473,112414,745
43473,45192,820
43473,157692,764
43473,176158,762
43473,23975,766
156050,127002,920
17078,171537,730
94696,65563,731
94696,45226,744
94696,73603,762
86188,163255,739
177949,181188,741
16079,141882,762
16079,134224,820
16079,45527,822
16079,167570,821
34113,97941,817
39083,38777,739
39083,72942,748
131746,45964,741
89910,49326,766
89910,81705,821
89910,151856,723
89910,127316,764
38944,69138,822
38944,166320,822
38944,2379,765
38944,27000,821
38944,59800,819
38944,74484,819
38944,173592,728
153717,133038,818
116360,158198,740
84176,54228,741
84176,42378,734
174722,83826,712
174722,37485,722
134594,70992,764
134594,73129,748
134594,90917,739
134594,13126,764
134594,145583,764
134594,29656,764
134594,158951,736
74804,140601,764
74804,135828,820
74804,95291,768
74804,39024,741
74804,97498,765
85831,177745,734
82929,67402,741
155317,54846,740
47159,47352,764
41155,102993,764
72084,82477,946
61053,98358,735
143229,177024,759
16224,13491,766
54352,161589,744
54352,182603,820
54352,136490,819
54352,86892,760
54352,65327,713
54352,6405,740
143300,69499,786
143300,121502,764
16857,28446,847
117137,81317,712
117137,100311,714
117137,115118,759
25420,28664,725
101231,22663,764
131830,171751,820
25711,131468,753
99171,168220,762
98676,110942,764
28924,124200,738
24542,147680,740
24542,106067,742
131057,111117,899
131057,56508,758
131057,19323,735
131057,35988,713
131057,24991,794
131057,151943,805
131057,101579,797
131057,126792,799
131057,100545,888
131057,45195,845
131057,60077,803
131057,10854,706
131057,64540,984
131057,31893,888
131057,149345,851
131057,24750,870
131057,24911,718
131057,125557,971
179425,7739,821
85436,7739,944
42366,1256,711
4600,81856,722
94822,124952,912
128829,134504,703
128829,4508,700
128829,86869,702
128829,17476,703
10110,154215,822
80310,147869,716
80310,137799,769
80310,134842,715
31287,96618,821
102589,112942,748
102589,21838,739
163434,161014,766
163434,87256,739
163434,159050,733
163434,91550,811
163434,31780,741
163434,78731,724
163434,151646,827
121938,122888,739
121938,110653,760
121938,62092,763
121938,37088,743
68838,67251,822
52028,178479,822
178475,92358,713
178475,57218,712
91610,57447,822
96897,111673,873
96897,136018,723
96897,29836,743
96897,1057,891
96897,155243,868
96897,60482,800
96897,124740,750
96897,146325,787
96897,22496,756
96897,103732,891
96897,168192,825
19011,49727,753
19011,128733,713
26232,96729,732
157662,76576,730
108907,120972,763
108907,152768,939
108907,53467,926
42118,11662,821
92714,138487,742
183010,85012,745
19686,125237,955
